org,repo,hyperlink,commits_last_30d,PRs_closed_30d,source,health_score
microsoft,kiota-samples,https://github.com/microsoft/kiota-samples,100,100,MICROSOFT,300
ibm,spnl,https://github.com/IBM/spnl,100,99,IBM,298
microsoft,TypeAgent,https://github.com/microsoft/TypeAgent,100,99,MICROSOFT,298
microsoft,MIDI,https://github.com/microsoft/MIDI,100,99,MICROSOFT,298
microsoft,testfx,https://github.com/microsoft/testfx,100,98,MICROSOFT,296
siemens,element,https://github.com/siemens/element,100,97,LARGE_BUCKET2,294
analogdevicesinc,scopy,https://github.com/analogdevicesinc/scopy,100,97,LARGE_BUCKET3,294
nvidia,cccl,https://github.com/NVIDIA/cccl,100,97,LARGE_BUCKET1,294
amd,HPCTrainingExamples,https://github.com/amd/HPCTrainingExamples,100,97,SMALL_ORGS,294
intel,llvm,https://github.com/intel/llvm,100,96,LARGE_BUCKET2,292
google,filament,https://github.com/google/filament,100,96,GOOGLE,292
google,android-cuttlefish,https://github.com/google/android-cuttlefish,100,95,GOOGLE,290
sap,ui5-webcomponents,https://github.com/SAP/ui5-webcomponents,100,95,LARGE_BUCKET2,290
adobe,spacecat-audit-worker,https://github.com/adobe/spacecat-audit-worker,100,95,LARGE_BUCKET3,290
microsoft,kiota,https://github.com/microsoft/kiota,100,94,MICROSOFT,288
adobe,spacecat-shared,https://github.com/adobe/spacecat-shared,100,94,LARGE_BUCKET3,288
ibm,mcp-context-forge,https://github.com/IBM/mcp-context-forge,100,94,IBM,288
google,xls,https://github.com/google/xls,100,94,GOOGLE,288
microsoft,vscode-copilot-chat,https://github.com/microsoft/vscode-copilot-chat,100,94,MICROSOFT,288
analogdevicesinc,hdl,https://github.com/analogdevicesinc/hdl,91,98,LARGE_BUCKET3,287
google,perfetto,https://github.com/google/perfetto,100,93,GOOGLE,286
vmware,build-tools-for-vmware-aria,https://github.com/vmware/build-tools-for-vmware-aria,100,92,LARGE_BUCKET2,284
datadog,dd-trace-py,https://github.com/DataDog/dd-trace-py,100,92,LARGE_BUCKET4,284
microsoft,mcp-for-beginners,https://github.com/microsoft/mcp-for-beginners,100,92,MICROSOFT,284
databricks,cli,https://github.com/databricks/cli,100,92,LARGE_BUCKET4,284
aws,language-servers,https://github.com/aws/language-servers,100,92,LARGE_BUCKET1,284
microsoft,FluidFramework,https://github.com/microsoft/FluidFramework,100,92,MICROSOFT,284
google,fonts,https://github.com/google/fonts,99,92,GOOGLE,283
aws,aws-sdk-net,https://github.com/aws/aws-sdk-net,100,91,LARGE_BUCKET1,282
atlassian,atlascode,https://github.com/atlassian/atlascode,100,91,LARGE_BUCKET4,282
adobe,spacecat-api-service,https://github.com/adobe/spacecat-api-service,100,90,LARGE_BUCKET3,280
alibaba,spring-ai-alibaba,https://github.com/alibaba/spring-ai-alibaba,100,90,LARGE_BUCKET1,280
google,site-kit-wp,https://github.com/google/site-kit-wp,100,89,GOOGLE,278
microsoft,vscode,https://github.com/microsoft/vscode,100,89,MICROSOFT,278
nvidia,Fuser,https://github.com/NVIDIA/Fuser,100,89,LARGE_BUCKET1,278
google,osv-scalibr,https://github.com/google/osv-scalibr,100,89,GOOGLE,278
microsoft,Qcodes,https://github.com/microsoft/Qcodes,100,89,MICROSOFT,278
datadog,datadog-agent,https://github.com/DataDog/datadog-agent,100,89,LARGE_BUCKET4,278
microsoft,fluentui-charting-contrib,https://github.com/microsoft/fluentui-charting-contrib,88,95,MICROSOFT,278
aws,aws-sdk-js-v3,https://github.com/aws/aws-sdk-js-v3,100,89,LARGE_BUCKET1,278
google,orbax,https://github.com/google/orbax,100,88,GOOGLE,276
microsoft,onnxruntime,https://github.com/microsoft/onnxruntime,100,88,MICROSOFT,276
bytedance,UI-TARS-desktop,https://github.com/bytedance/UI-TARS-desktop,100,88,LARGE_BUCKET1,276
datadog,dd-trace-go,https://github.com/DataDog/dd-trace-go,100,88,LARGE_BUCKET4,276
nvidia,TensorRT-LLM,https://github.com/NVIDIA/TensorRT-LLM,100,87,LARGE_BUCKET1,274
microsoft,typespec,https://github.com/microsoft/typespec,100,87,MICROSOFT,274
microsoft,codeql,https://github.com/microsoft/codeql,100,87,MICROSOFT,274
facebook,react,https://github.com/facebook/react,100,87,META,274
microsoft,typescript-go,https://github.com/microsoft/typescript-go,95,89,MICROSOFT,273
sap,open-ux-tools,https://github.com/SAP/open-ux-tools,97,88,LARGE_BUCKET2,273
microsoft,wassette,https://github.com/microsoft/wassette,100,86,MICROSOFT,272
microsoft,BCApps,https://github.com/microsoft/BCApps,86,93,MICROSOFT,272
datadog,cilium,https://github.com/DataDog/cilium,100,86,LARGE_BUCKET4,272
shopify,cli,https://github.com/Shopify/cli,100,86,LARGE_BUCKET3,272
aws,eks-hybrid,https://github.com/aws/eks-hybrid,95,87,LARGE_BUCKET1,269
nvidia,nvbench,https://github.com/NVIDIA/nvbench,95,87,LARGE_BUCKET1,269
nvidia,TransformerEngine,https://github.com/NVIDIA/TransformerEngine,80,93,LARGE_BUCKET1,266
microsoft,playwright,https://github.com/microsoft/playwright,100,83,MICROSOFT,266
datadog,system-tests,https://github.com/DataDog/system-tests,86,90,LARGE_BUCKET4,266
adobe,helix-labs-website,https://github.com/adobe/helix-labs-website,78,94,LARGE_BUCKET3,266
microsoft,Conversation-Knowledge-Mining-Solution-Accelerator,https://github.com/microsoft/Conversation-Knowledge-Mining-Solution-Accelerator,76,95,MICROSOFT,266
nvidia,garak,https://github.com/NVIDIA/garak,94,86,LARGE_BUCKET1,266
square,workflow-kotlin,https://github.com/square/workflow-kotlin,100,83,LARGE_BUCKET3,266
google,adk-python,https://github.com/google/adk-python,100,83,GOOGLE,266
intel,intel-xpu-backend-for-triton,https://github.com/intel/intel-xpu-backend-for-triton,100,82,LARGE_BUCKET2,264
block,goose,https://github.com/block/goose,100,82,SMALL_ORGS,264
block,elasticgraph,https://github.com/block/elasticgraph,94,85,SMALL_ORGS,264
hpinc,AI-Blueprints,https://github.com/HPInc/AI-Blueprints,100,82,SMALL_ORGS,264
microsoft,RD-Agent,https://github.com/microsoft/RD-Agent,78,92,MICROSOFT,262
ibm,universal-connectors,https://github.com/IBM/universal-connectors,100,81,IBM,262
aws,aws-sdk-go-v2,https://github.com/aws/aws-sdk-go-v2,92,85,LARGE_BUCKET1,262
databricks,dbt-databricks,https://github.com/databricks/dbt-databricks,76,93,LARGE_BUCKET4,262
microsoft,rnx-kit,https://github.com/microsoft/rnx-kit,72,95,MICROSOFT,262
microsoft,PowerToys,https://github.com/microsoft/PowerToys,80,91,MICROSOFT,262
google,device-infra,https://github.com/google/device-infra,98,82,GOOGLE,262
ibm,prompt-declaration-language,https://github.com/IBM/prompt-declaration-language,63,99,IBM,261
adobe,helix-website,https://github.com/adobe/helix-website,65,98,LARGE_BUCKET3,261
microsoft,vscode-docs,https://github.com/microsoft/vscode-docs,100,80,MICROSOFT,260
sap,ui5-webcomponents-react,https://github.com/SAP/ui5-webcomponents-react,72,94,LARGE_BUCKET2,260
crowdstrike,faltest,https://github.com/CrowdStrike/faltest,78,90,LARGE_BUCKET4,258
google,tunix,https://github.com/google/tunix,73,92,GOOGLE,257
datadog,datadog-ci-rb,https://github.com/DataDog/datadog-ci-rb,65,96,LARGE_BUCKET4,257
microsoft,vscode-mssql,https://github.com/microsoft/vscode-mssql,77,89,MICROSOFT,255
snowflakedb,snowpark-python,https://github.com/snowflakedb/snowpark-python,73,91,SMALL_ORGS,255
nvidia,NeMo-Skills,https://github.com/NVIDIA/NeMo-Skills,69,93,LARGE_BUCKET1,255
ocadotechnology,codeforlife-workspace,https://github.com/ocadotechnology/codeforlife-workspace,100,77,SMALL_ORGS,254
google,virtual-broadcast-production-assistant,https://github.com/google/virtual-broadcast-production-assistant,100,77,GOOGLE,254
nvidia,cuda-quantum,https://github.com/NVIDIA/cuda-quantum,75,89,LARGE_BUCKET1,253
google,osv-scanner,https://github.com/google/osv-scanner,75,89,GOOGLE,253
microsoft,copilot-camp,https://github.com/microsoft/copilot-camp,65,94,MICROSOFT,253
aws,amazon-q-developer-cli,https://github.com/aws/amazon-q-developer-cli,99,77,LARGE_BUCKET1,253
tencent,tdesign-vue-next,https://github.com/Tencent/tdesign-vue-next,73,90,LARGE_BUCKET1,253
nvidia,cloudai,https://github.com/NVIDIA/cloudai,72,90,LARGE_BUCKET1,252
microsoft,fabric-toolbox,https://github.com/microsoft/fabric-toolbox,85,83,MICROSOFT,251
nvidia,nv-ingest,https://github.com/NVIDIA/nv-ingest,67,92,LARGE_BUCKET1,251
qualcomm,eld,https://github.com/qualcomm/eld,67,92,SMALL_ORGS,251
nvidia,spark-rapids,https://github.com/NVIDIA/spark-rapids,58,96,LARGE_BUCKET1,250
microsoft,openvmm,https://github.com/microsoft/openvmm,63,93,MICROSOFT,249
crowdstrike,foundry-sample-mitre,https://github.com/CrowdStrike/foundry-sample-mitre,66,91,LARGE_BUCKET4,248
microsoft,semantic-link-labs,https://github.com/microsoft/semantic-link-labs,56,96,MICROSOFT,248
