org,repo,github_repo_url,last_committed,days_since_commit,stars,language
AstraZeneca,cellatria,https://github.com/AstraZeneca/cellatria,2025-08-05,23,9,Python
AstraZeneca,jazzy,https://github.com/AstraZeneca/jazzy,2025-08-21,7,84,Python
AstraZeneca,maraca,https://github.com/AstraZeneca/maraca,2025-08-22,6,4,R
AstraZeneca,persist-seq-galaxy-tools-setup,https://github.com/AstraZeneca/persist-seq-galaxy-tools-setup,2025-08-08,20,0,Python
AstraZeneca,runnable,https://github.com/AstraZeneca/runnable,2025-08-24,3,41,Python
GSK-Biostatistics,beastt,https://github.com/GSK-Biostatistics/beastt,2025-08-06,21,4,R
GSK-Biostatistics,bnpdb,https://github.com/GSK-Biostatistics/bnpdb,2025-08-28,0,1,R
GSK-Biostatistics,cicalc,https://github.com/GSK-Biostatistics/cicalc,2025-08-28,0,3,R
GSK-Biostatistics,docorator,https://github.com/GSK-Biostatistics/docorator,2025-08-28,0,0,R
GSK-Biostatistics,tfrmt,https://github.com/GSK-Biostatistics/tfrmt,2025-08-18,10,79,R
Legal-and-General,canopy,https://github.com/Legal-and-General/canopy,2025-08-22,5,22,TypeScript
Sage,carbon,https://github.com/Sage/carbon,2025-08-28,0,292,TypeScript
Sage,design-tokens,https://github.com/Sage/design-tokens,2025-08-28,0,18,TypeScript
Sage,eventq,https://github.com/Sage/eventq,2025-08-26,2,5,Ruby
Sage,s1_linter_config,https://github.com/Sage/s1_linter_config,2025-08-28,0,0,None
WPP-Public,akqa-nz-silverstripe-slices,https://github.com/WPP-Public/akqa-nz-silverstripe-slices,2025-08-13,15,7,PHP
WPP-Public,akqa-nz-silverstripe-tumu,https://github.com/WPP-Public/akqa-nz-silverstripe-tumu,2025-08-27,1,0,PHP
autotraderuk,traverson4j,https://github.com/autotraderuk/traverson4j,2025-08-15,12,4,Java
bp,ResSimpy,https://github.com/bp/ResSimpy,2025-08-26,2,19,Python
elsevierlabs-os,linked-data,https://github.com/elsevierlabs-os/linked-data,2025-08-14,14,34,TypeScript
elsevierlabs-os,structurizr-parser,https://github.com/elsevierlabs-os/structurizr-parser,2025-08-17,11,0,HTML
experianplc,edq-data-validation-sdks,https://github.com/experianplc/edq-data-validation-sdks,2025-08-28,0,0,Java
hsbc,bqtools,https://github.com/hsbc/bqtools,2025-08-12,16,5,Python
hsbc,cranker-connector,https://github.com/hsbc/cranker-connector,2025-08-21,7,25,Java
hsbc,encryption-helper-python,https://github.com/hsbc/encryption-helper-python,2025-08-11,17,2,Python
hsbc,go-api-pagination,https://github.com/hsbc/go-api-pagination,2025-08-27,0,5,Go
hsbc,jdbc-inquirer,https://github.com/hsbc/jdbc-inquirer,2025-08-19,9,2,Java
rropen,absense-planner,https://github.com/rropen/absense-planner,2025-08-17,11,14,Python
rropen,provider-cscdm,https://github.com/rropen/provider-cscdm,2025-08-01,26,0,Go
rropen,terraform-provider-cscdm,https://github.com/rropen/terraform-provider-cscdm,2025-08-15,13,0,Go
