org;github_org;repo_count;revenue
Walmart;walmartlabs;151;$648.13B
Amazon;aws;501;$638B
Amazon;amzn;161;$638B
Apple;apple;340;$391.04B
Samsung;samsung;179;$218.9B
ByteDance;bytedance;367;$155B
Alibaba;alibaba;455;$130.35B
Alibaba;aliyun;588;$130.35B
Nvidia;nvidia;589;$130.5B
AT&T;att;102;$122.3B
Comcast;comcast;231;$121B
Bosch;boschresearch;351;$97.84B
Tencent;tencent;217;$91.9B
Sony;sony;110;$89.8B
Dell;dell;163;$88.4B
Siemens;siemens;200;$82.37B
Deutsche Telekom;telekom;207;$81.7B
Deutsche Telekom;telekom-mms;109;$81.7B
Oracle;oracle;297;$53B
Intel;intel;1318;$53.1B
Intel;intellabs;176;$53.1B
Broadcom;vmware;157;$51.6B
Uber;uber;167;$43.98B
Netflix;netflix;232;$39B
SAP;sap;298;$37.4B
Salesforce;salesforce;403;$34.86B
PayPal;paypal;160;$31.8B
HPE;hewlettpackard;469;$30.13B
Mastercard;mastercard;141;$28.2B
Block;square;296;$24B
Adobe;adobe;1030;$21.5B
Nokia;nokia;563;$20.8B
Infineon;infineon;1798;$16.2B
Spotify;spotify;278;$14.4B
STMicroelectronics;stmicroelectronics;693;$13.27B
Airbnb;airbnb;196;$11B
ServiceNow;servicenow;235;$10.98B
Analog Devices;analogdevicesinc;297;$9.4B
Shopify;shopify;1124;$8.88B
NetApp;netapp;101;$6.27B
Lyft;lyft;294;$5.7B
Zoom;zoom;112;$4.53B
Twilio;twilio;224;$4.46B
Atlassian;atlassian;382;$4.36B
CrowdStrike;crowdstrike;237;$3.06B
Palantir;palantir;254;$2.87B
Datadog;datadog;1097;$2.68B
Databricks;databricks;245;$2.4B
The Sage Group;sage;126;$2.3B
